State,Abbr,Salary_2010,Salary_2020,Type
United States,US,55370,63645,unadjusted
United States,US,65715,79062,adjusted
Alabama,AL,47571,54095,unadjusted
Alabama,AL,56459,66290,adjusted
Alaska,AK,59672,70877,unadjusted
Alaska,AK,70821,94584,adjusted
Arizona,AR,46952,50381,unadjusted
Arizona,AR,55725,68704,adjusted
Arkansas,AZ,46700,49822,unadjusted
Arkansas,AZ,55425,62352,adjusted
California,CA,68203,84659,unadjusted
California,CA,80946,97846,adjusted
Colorado,CO,49202,57269,unadjusted
Colorado,CO,58395,72233,adjusted
Connecticut,CT,64350,78247,unadjusted
Connecticut,CT,76373,94486,adjusted
Delaware,DE,57080,64853,unadjusted
Delaware,DE,67745,81943,adjusted
District of Columbia,DC,64548,79350,unadjusted
District of Columbia,DC,76608,96225,adjusted
Florida,FL,46708,48800,unadjusted
Florida,FL,55435,67000,adjusted
Georgia,GA,53112,60578,unadjusted
Georgia,GA,63036,73293,adjusted
Hawaii,HI,55063,65409,unadjusted
Hawaii,HI,65351,81324,adjusted
Idaho,IA,46283,52875,unadjusted
Idaho,IA,54931,64949,adjusted
Illinois,ID,62077,68305,unadjusted
Illinois,ID,73676,86375,adjusted
Indiana,IL,49986,51508,unadjusted
Indiana,IL,59325,72335,adjusted
Iowa,IN,49626,58917,unadjusted
Iowa,IN,58898,71342,adjusted
Kansas,KS,46657,52554,unadjusted
Kansas,KS,55374,66995,adjusted
Kentucky,KY,49543,53907,unadjusted
Kentucky,KY,58800,68428,adjusted
Louisiana,LA,48903,50217,unadjusted
Louisiana,LA,58040,64939,adjusted
Maine,MA,46106,54967,unadjusted
Maine,MA,54720,67367,adjusted
Maryland,MD,63971,73444,unadjusted
Maryland,MD,75923,88780,adjusted
Massachusetts,ME,69273,83622,unadjusted
Massachusetts,ME,82216,95098,adjusted
Michigan,MI,57958,62185,unadjusted
Michigan,MI,68787,85987,adjusted
Minnesota,MN,52431,58663,unadjusted
Minnesota,MN,62227,75936,adjusted
Mississippi,MS,45644,45192,unadjusted
Mississippi,MS,54172,59769,adjusted
Missouri,MO,45317,50817,unadjusted
Missouri,MO,53784,65870,adjusted
Montana,MT,45759,52135,unadjusted
Montana,MT,54309,64842,adjusted
Nebraska,NE,46227,55267,unadjusted
Nebraska,NE,54864,66486,adjusted
Nevada,NV,51524,56672,unadjusted
Nevada,NV,61151,74570,adjusted
New Hampshire,NH,51443,60003,unadjusted
New Hampshire,NH,61055,72711,adjusted
New Jersey,NJ,65130,76376,unadjusted
New Jersey,NJ,77299,92854,adjusted
New Mexico,NM,46258,54256,unadjusted
New Mexico,NM,54901,64440,adjusted
New York,NY,71633,87543,unadjusted
New York,NY,85017,102209,adjusted
North Carolina,NC,46850,54682,unadjusted
North Carolina,NC,55604,69429,adjusted
North Dakota,ND,42964,52328,unadjusted
North Dakota,ND,50991,62488,adjusted
Ohio,OH,55958,59713,unadjusted
Ohio,OH,66413,77393,adjusted
Oklahoma,OK,47691,54038,unadjusted
Oklahoma,OK,56602,64287,adjusted
Oregon,OR,55224,67685,unadjusted
Oregon,OR,65542,80555,adjusted
Pennsylvania,PA,59156,70258,unadjusted
Pennsylvania,PA,70209,86117,adjusted
Rhode Island,RI,59686,67323,unadjusted
Rhode Island,RI,70838,86383,adjusted
South Carolina,SC,47508,51485,unadjusted
South Carolina,SC,56384,66301,adjusted
South Dakota,SD,38837,49220,unadjusted
South Dakota,SD,46093,57765,adjusted
Tennessee,TN,46290,51862,unadjusted
Tennessee,TN,54939,66566,adjusted
Texas,TX,48261,57091,unadjusted
Texas,TX,57278,69289,adjusted
Utah,UT,45885,52819,unadjusted
Utah,UT,54458,65950,adjusted
Vermont,VA,49084,61108,unadjusted
Vermont,VA,58255,72495,adjusted
Virginia,VT,50015,53933,unadjusted
Virginia,VT,59360,71237,adjusted
Washington,WA,53003,72965,unadjusted
Washington,WA,62906,83773,adjusted
West Virginia,WI,45959,50238,unadjusted
West Virginia,WI,54546,63596,adjusted
Wisconsin,WV,51264,59176,unadjusted
Wisconsin,WV,60842,76189,adjusted
Wyoming,WY,55861,59014,unadjusted
Wyoming,WY,66298,59014,adjusted
